title,budget,revenue,popularity,genres,release_date,tconst,year,averageRating,numVotes,profit,ROI,year_tmdb,decade,success_category
Tangled,260000000,591794936,48.681969,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2010-11-24,tt0238137,2001,5.5,2752,331794936,2.2761343692307694,2010,2010,High
Tangled,260000000,591794936,48.681969,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2010-11-24,tt0398286,2010,7.7,543571,331794936,2.2761343692307694,2010,2010,High
Tangled,260000000,591794936,48.681969,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2010-11-24,tt15173232,2022,6.4,767,331794936,2.2761343692307694,2010,2010,High
Avengers: Age of Ultron,280000000,1405403694,134.279229,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2015-04-22,tt2395427,2015,7.3,997876,1125403694,5.019298907142857,2015,2010,High
Harry Potter and the Half-Blood Prince,250000000,933959197,98.885637,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",2009-07-07,tt0417741,2009,7.6,658193,683959197,3.735836788,2009,2000,High
Batman v Superman: Dawn of Justice,250000000,873260194,155.790452,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2016-03-23,tt2975590,2016,6.4,790332,623260194,3.493040776,2016,2010,High
Superman Returns,270000000,391081192,57.925623,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2006-06-28,tt0348150,2006,6.1,302729,121081192,1.4484488592592593,2006,2000,High
Quantum of Solace,200000000,586090727,107.928811,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2008-10-30,tt0830515,2008,6.5,496570,386090727,2.930453635,2008,2000,High
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,145.847379,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",2006-06-20,tt0383574,2006,7.4,824122,865659812,5.32829906,2006,2000,High
The Lone Ranger,255000000,89289910,49.046956,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",2013-07-03,tt0030382,1938,6.6,318,-165710090,0.35015650980392155,2013,2010,Low
The Lone Ranger,255000000,89289910,49.046956,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",2013-07-03,tt0048310,1956,6.5,1311,-165710090,0.35015650980392155,2013,2010,Low
The Lone Ranger,255000000,89289910,49.046956,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",2013-07-03,tt1210819,2013,6.4,252753,-165710090,0.35015650980392155,2013,2010,Low
Man of Steel,225000000,662845518,99.398009,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2013-06-12,tt0180817,1999,6.9,137,437845518,2.94598008,2013,2010,High
Man of Steel,225000000,662845518,99.398009,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2013-06-12,tt0263704,1967,6.0,34,437845518,2.94598008,2013,2010,High
Man of Steel,225000000,662845518,99.398009,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2013-06-12,tt0770828,2013,7.1,865200,437845518,2.94598008,2013,2010,High
The Chronicles of Narnia: Prince Caspian,225000000,419651413,53.978602,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2008-05-15,tt0499448,2008,6.5,239027,194651413,1.8651173911111112,2008,2000,High
The Avengers,220000000,1519557910,144.448633,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2012-04-25,tt0034639,1942,6.1,670,1299557910,6.907081409090909,2012,2010,High
The Avengers,220000000,1519557910,144.448633,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2012-04-25,tt0118661,1998,3.8,46867,1299557910,6.907081409090909,2012,2010,High
The Avengers,220000000,1519557910,144.448633,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2012-04-25,tt0167779,1950,5.4,32,1299557910,6.907081409090909,2012,2010,High
The Avengers,220000000,1519557910,144.448633,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2012-04-25,tt0848228,2012,8.0,1554568,1299557910,6.907081409090909,2012,2010,High
Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,135.413856,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",2011-05-14,tt1298650,2011,6.6,605868,665713802,2.7518784263157894,2011,2010,High
The Hobbit: The Battle of the Five Armies,250000000,956019788,120.965743,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2014-12-10,tt2310332,2014,7.4,616475,706019788,3.824079152,2014,2010,High
The Amazing Spider-Man,215000000,752215857,89.866276,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2012-06-27,tt0948470,2012,6.9,762952,537215857,3.4986784046511628,2012,2010,High
Robin Hood,200000000,310669540,37.668301,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,tt0003337,1913,5.6,63,110669540,1.5533477,2010,2010,High
Robin Hood,200000000,310669540,37.668301,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,tt0013556,1922,7.0,2678,110669540,1.5533477,2010,2010,High
Robin Hood,200000000,310669540,37.668301,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,tt0070608,1973,7.5,149735,110669540,1.5533477,2010,2010,High
Robin Hood,200000000,310669540,37.668301,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,tt0102797,1991,5.7,6365,110669540,1.5533477,2010,2010,High
Robin Hood,200000000,310669540,37.668301,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,tt0146249,1935,7.2,69,110669540,1.5533477,2010,2010,High
Robin Hood,200000000,310669540,37.668301,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,tt0955308,2010,6.6,295976,110669540,1.5533477,2010,2010,High
Robin Hood,200000000,310669540,37.668301,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,tt2363363,2013,6.1,113,110669540,1.5533477,2010,2010,High
Robin Hood,200000000,310669540,37.668301,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,tt4532826,2018,5.4,86311,110669540,1.5533477,2010,2010,High
The Hobbit: The Desolation of Smaug,250000000,958400000,94.370564,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2013-12-11,tt1170358,2013,7.8,752290,708400000,3.8336,2013,2010,High
The Golden Compass,180000000,372234864,42.990906,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2007-12-04,tt0385752,2007,6.1,203575,192234864,2.0679714666666666,2007,2000,High
King Kong,207000000,550000000,61.22601,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",2005-12-14,tt0024216,1933,7.9,95770,343000000,2.657004830917874,2005,2000,High
King Kong,207000000,550000000,61.22601,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",2005-12-14,tt0074751,1976,6.0,38262,343000000,2.657004830917874,2005,2000,High
King Kong,207000000,550000000,61.22601,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",2005-12-14,tt0242576,1962,6.2,59,343000000,2.657004830917874,2005,2000,High
King Kong,207000000,550000000,61.22601,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",2005-12-14,tt0360717,2005,7.2,469930,343000000,2.657004830917874,2005,2000,High
King Kong,207000000,550000000,61.22601,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",2005-12-14,tt7733440,2018,7.0,51,343000000,2.657004830917874,2005,2000,High
Titanic,200000000,1845034188,100.025899,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1997-11-18,tt0036443,1943,6.1,2034,1645034188,9.22517094,1997,1990,High
Titanic,200000000,1845034188,100.025899,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1997-11-18,tt0046435,1953,7.0,8216,1645034188,9.22517094,1997,1990,High
Titanic,200000000,1845034188,100.025899,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1997-11-18,tt0120338,1997,8.0,1388701,1645034188,9.22517094,1997,1990,High
Titanic,200000000,1845034188,100.025899,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1997-11-18,tt0155274,1915,6.1,181,1645034188,9.22517094,1997,1990,High
Titanic,200000000,1845034188,100.025899,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1997-11-18,tt2495766,2012,6.0,29,1645034188,9.22517094,1997,1990,High
Titanic,200000000,1845034188,100.025899,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1997-11-18,tt27713920,2023,5.8,37,1645034188,9.22517094,1997,1990,High
Titanic,200000000,1845034188,100.025899,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1997-11-18,tt8852130,2018,5.6,27,1645034188,9.22517094,1997,1990,High
Captain America: Civil War,250000000,1153304495,198.372395,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2016-04-27,tt3498820,2016,7.8,924549,903304495,4.61321798,2016,2010,High
Battleship,209000000,303025485,64.928382,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2012-04-11,tt1440129,2012,5.8,269023,94025485,1.4498827033492823,2012,2010,Medium
Jurassic World,150000000,1513528810,418.708552,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2015-06-09,tt0369610,2015,6.9,727880,1363528810,10.090192066666667,2015,2010,High
Skyfall,200000000,1108561013,93.004993,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2012-10-25,tt1074638,2012,7.8,771362,908561013,5.542805065,2012,2010,High
Spider-Man 2,200000000,783766341,35.149586,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2004-06-25,tt0316654,2004,7.5,782270,583766341,3.918831705,2004,2000,High
Iron Man 3,200000000,1215439994,77.68208,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2013-04-18,tt1300854,2013,7.1,963365,1015439994,6.07719997,2013,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt0004873,1915,6.1,980,825491110,5.12745555,2010,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt0021599,1931,4.3,234,825491110,5.12745555,2010,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt0023753,1933,6.3,3001,825491110,5.12745555,2010,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt0042189,1949,6.2,939,825491110,5.12745555,2010,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt0043274,1951,7.3,166230,825491110,5.12745555,2010,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt0290406,1976,4.7,133,825491110,5.12745555,2010,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt0468642,2005,3.4,127,825491110,5.12745555,2010,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt1014759,2010,6.4,467006,825491110,5.12745555,2010,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt2049386,2010,6.4,22,825491110,5.12745555,2010,2010,High
Alice in Wonderland,200000000,1025491110,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,tt33349068,2025,3.9,374,825491110,5.12745555,2010,2010,High
X-Men: The Last Stand,210000000,459359555,3.857526,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2006-05-24,tt0376994,2006,6.6,571381,249359555,2.1874264523809526,2006,2000,High
Monsters University,200000000,743559607,89.186492,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2013-06-20,tt1453405,2013,7.2,423613,543559607,3.717798035,2013,2010,High
Transformers: Revenge of the Fallen,150000000,836297228,21.939663,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2009-06-19,tt1055369,2009,6.0,453408,686297228,5.575314853333333,2009,2000,High
Transformers: Age of Extinction,210000000,1091405097,116.840296,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2014-06-25,tt2109248,2014,5.6,349108,881405097,5.1971671285714285,2014,2010,High
The Amazing Spider-Man 2,200000000,705717432,89.270217,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2014-04-16,tt1872181,2014,6.6,588457,505717432,3.52858716,2014,2010,High
Cars 2,200000000,559852396,49.98659,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",2011-06-11,tt1216475,2011,6.2,254862,359852396,2.79926198,2011,2010,High
Green Lantern,200000000,219851172,51.872839,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2011-06-16,tt1133985,2011,5.5,308265,19851172,1.09925586,2011,2010,Medium
Toy Story 3,200000000,1066969703,59.995418,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",2010-06-16,tt0435761,2010,8.3,967257,866969703,5.334848515,2010,2010,High
Terminator Salvation,200000000,371353001,71.862892,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2009-05-20,tt0438488,2009,6.5,392298,171353001,1.856765005,2009,2000,High
Furious 7,190000000,1506249360,102.322217,"[{""id"": 28, ""name"": ""Action""}]",2015-04-01,tt2820852,2015,7.1,438913,1316249360,7.927628210526316,2015,2010,High
World War Z,200000000,531865000,81.834855,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2013-06-20,tt0816711,2013,7.0,781067,331865000,2.659325,2013,2010,High
X-Men: Days of Future Past,250000000,747862775,118.078691,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2014-05-15,tt1877832,2014,7.9,786731,497862775,2.9914511,2014,2010,High
Star Trek Into Darkness,190000000,467365246,78.291018,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2013-05-05,tt1408101,2013,7.7,509977,277365246,2.4598170842105263,2013,2010,High
Jack the Giant Slayer,195000000,197687603,43.349855,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2013-02-27,tt1351685,2013,6.3,155067,2687603,1.0137825794871795,2013,2010,Medium
The Great Gatsby,105000000,351040419,61.196071,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2013-05-10,tt0041428,1949,6.5,1050,246040419,3.3432420857142855,2013,2010,High
The Great Gatsby,105000000,351040419,61.196071,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2013-05-10,tt0071577,1974,6.4,28880,246040419,3.3432420857142855,2013,2010,High
The Great Gatsby,105000000,351040419,61.196071,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2013-05-10,tt1343092,2013,7.2,641446,246040419,3.3432420857142855,2013,2010,High
Prince of Persia: The Sands of Time,150000000,335154643,62.169881,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",2010-05-19,tt0473075,2010,6.5,317126,185154643,2.2343642866666666,2010,2010,High
Pacific Rim,180000000,407602906,56.523205,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",2013-07-11,tt1663662,2013,6.9,557997,227602906,2.264460588888889,2013,2010,High
Transformers: Dark of the Moon,195000000,1123746996,28.529607,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",2011-06-28,tt1399103,2011,6.2,455082,928746996,5.762805107692308,2011,2010,High
Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,75.674458,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",2008-05-21,tt0367882,2008,6.2,513126,601636033,4.252086664864865,2008,2000,High
The Good Dinosaur,175000000,331926147,51.692953,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2015-11-14,tt1979388,2015,6.7,139419,156926147,1.89672084,2015,2010,High
Brave,185000000,538983207,125.114374,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",2012-06-21,tt0109331,1994,7.1,282,353983207,2.9134227405405406,2012,2010,High
Brave,185000000,538983207,125.114374,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",2012-06-21,tt0250728,1992,4.2,9,353983207,2.9134227405405406,2012,2010,High
Brave,185000000,538983207,125.114374,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",2012-06-21,tt1149582,2007,4.0,386,353983207,2.9134227405405406,2012,2010,High
Brave,185000000,538983207,125.114374,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",2012-06-21,tt1217209,2012,7.1,477943,353983207,2.9134227405405406,2012,2010,High
Star Trek Beyond,185000000,343471816,65.352913,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2016-07-07,tt2660888,2016,7.0,269702,158471816,1.8566044108108108,2016,2010,High
WALL·E,180000000,521311860,66.390712,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2008-06-22,tt0910970,2008,8.4,1316709,341311860,2.896177,2008,2000,High
Rush Hour 3,140000000,258022233,22.57178,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2007-08-08,tt0293564,2007,6.3,199024,118022233,1.84301595,2007,2000,High
2012,200000000,769653595,45.274225,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2009-10-10,tt1190080,2009,5.9,421187,569653595,3.848267975,2009,2000,High
A Christmas Carol,200000000,325233863,39.744242,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",2009-11-04,tt0029992,1938,7.5,9991,125233863,1.626169315,2009,2000,High
A Christmas Carol,200000000,325233863,39.744242,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",2009-11-04,tt0039562,1947,5.5,36,125233863,1.626169315,2009,2000,High
